name	type	retail_price	engine_size	hp	mpg_city	mpg_hwy	weight	wheel_base
Nissan Titan King Cab XE	Pickup	26650	5.6	305	14	18	5287	140
Nissan Xterra XE V6	SUV	20939	3.3	180	17	20	3760	104
Oldsmobile Silhouette GL	Minivan	28790	3.4	185	19	26	3948	120
Pontiac Aztekt	SUV	21595	3.4	185	19	26	3779	108
Pontiac Montana	Minivan	23845	3.4	185	19	26	3803	112
Pontiac Montana EWB	Minivan	31370	3.4	185	18	24	4431	121
Pontiac Vibe	Wagon	17045	1.8	130	29	36	2701	102
Porsche Cayenne S	SUV	56665	4.5	340	14	18	4950	112
Saab 9-5 Aero	Wagon	40845	2.3	250	19	29	3620	106
Saturn L300 2	Wagon	23560	2.2	140	24	34	3109	107
Saturn VUE	SUV	20585	2.2	143	21	26	3381	107
Scion xB	Wagon	14165	1.5	108	31	35	2425	98
Subaru Baja	Pickup	24520	2.5	165	21	28	3485	104
Subaru Forester X	Wagon	21445	2.5	165	21	28	3090	99
Subaru Outback	Wagon	23895	2.5	165	21	28	3430	104
Suzuki Aerio SX	Wagon	16497	2.3	155	24	29	2932	98
Suzuki Vitara LX	SUV	17163	2.5	165	19	22	3020	98
Suzuki XL-7 EX	SUV	23699	2.7	185	18	22	3682	110
Toyota 4Runner SR5 V6	SUV	27710	4	245	18	21	4035	110
Toyota Highlander V6	SUV	27930	3.3	230	18	24	3935	107
Toyota Land Cruiser	SUV	54765	4.7	325	13	17	5390	112
Toyota Matrix XR	Wagon	16695	1.8	130	29	36	2679	102
Toyota RAV4	SUV	20290	2.4	161	22	27	3119	98
Toyota Sequoia SR5	SUV	35695	4.7	240	14	17	5270	118
Toyota Sienna CE	Minivan	23495	3.3	230	19	27	4120	119
Toyota Sienna XLE Limited	Minivan	28800	3.3	230	19	27	4165	119
Toyota Tacoma	Pickup	12800	2.4	142	22	27	2750	103
Toyota Tundra Access Cab V6 SR5	Pickup	25935	3.4	190	14	17	4435	128
Toyota Tundra Regular Cab V6	Pickup	16495	3.4	190	16	20	3925	128
Volkswagen Jetta GL	Wagon	19005	2	115	24	30	3034	99
Volkswagen Passat GLS 1.8T	Wagon	24955	1.8	170	22	31	3338	106
Volkswagen Passat W8	Wagon	40235	4	270	18	25	4067	106
Volkswagen Touareg V6	SUV	35515	3.2	220	15	20	5086	112
Volvo V40	Wagon	26135	1.9	170	22	29	2822	101
Volvo XC70	Wagon	35145	2.5	208	20	27	3823	109
Volvo XC90 T6	SUV	41250	2.9	268	15	20	4638	113
